produto;data_compra;mercado;chave_nfce;qtd
BISCOITO PIRAQUE REC CHOCOLATE 160g (Código: 1561869 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:3UN: GVl. Unit.:   3,75
COOKIE NESTLE CLASSI BAU G CHOC 60g (Código: 1605013 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:2UN: GVl. Unit.:   2,45
BISCOITO PIRAQUE WAFER REC CHO 100g (Código: 1711011 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:3UN: GVl. Unit.:   2,55
BISCOITO PIRAQUE ROLADINHO GOIA 75g (Código: 1562064 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:2UN: GVl. Unit.:   2,99
BISCOITO PIRAQUE REC LIMAO 160g (Código: 1561883 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   3,75
BISCOITO PIRAQUE SALG PRESUNTI 100g (Código: 36993 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   3,49
BISCOITO PIRAQUE SALG QUEIJO 100g (Código: 36986 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   3,49
MAC INST NISSIN LAMEN CARNE 85g (Código: 313230 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:2UN: GVl. Unit.:   2,49
BISCOITO CLUB SOCIAL ORIG EEC 288g (Código: 1259988 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: gVl. Unit.:   7,54
BISNAGUITO PLUS VITA 300g (Código: 29872 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   6,98
BISCOITO V DOURO POLVILHO TRAD 100g (Código: 1119299 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   5,95
SKINY ASSADO PRESUNTO 60g (Código: 1914368 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   2,15
SKINY ASSADO NATURAL 60g (Código: 1914351 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   2,15
SALG TORCIDA QUEIJO 60g (Código: 1914276 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:2UN: GVl. Unit.:   1,69
BISCOITO PIRAQUE SALGADINHO 100g (Código: 36979 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   3,49
SKINY ASSADO QUEIJO 60g (Código: 1960112 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   2,15
BATATA PALHA NA MESA TRAD 215g (Código: 1618082 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   15,9
PAO HAMBURGUER GUANABARA kg (Código: 1434231 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:0,5UN: KGVl. Unit.:   15,9
MAC INST NISSIN LAMEN GAL CAIP 85g (Código: 313162 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:2UN: GVl. Unit.:   2,49
MAIONESE HEINZ FP 390g (Código: 1163513 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   13,99
MOLHO BRANCO ELEGE TP 200g (Código: 504645 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   4,39
QUE MUC CRISTAU LAT FAT kg (Código: 1833560 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:0,498UN: kgVl. Unit.:   39,98
PRES SUI COZ PERDIGAO MAGRO kg (Código: 1124125 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:0,142UN: KGVl. Unit.:   30
QUE MUC CRISTAU LAT FAT kg (Código: 1833560 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:0,512UN: kgVl. Unit.:   39,98
CARNE SECA CHARQUE 500 LAGARTO kg (Código: 74360 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:0,712UN: KGVl. Unit.:   53,99
MOL TOM POMAROLA PEN TRADIC 520g (Código: 42284 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   5,18
COSTELA SALG SUI PATA NEGRA EMB kg (Código: 1493740 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:0,462UN: KGVl. Unit.:   36
PALETA SUINO JULIATTO DEFUMADA Kg (Código: 1407143 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:0,322UN: KGVl. Unit.:   43,98
LEITE PO GLORIA INTEGRAL SACHE 360g (Código: 1123906 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:4UN: GVl. Unit.:   12,98
REQUEIJAO ITAMBE CREM TRAD PT 400g (Código: 1476828 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   13,95
LEITE L VIDA ITALAC CTAMPA INT 1l (Código: 782128 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:12UN: LVl. Unit.:   4,69
MANTEIGA LACTMILK CSAL 200g (Código: 1594683 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:2UN: GVl. Unit.:   6,99
LEITE COCO SABOR DO NORDESTE 200ml (Código: 485692 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: MLVl. Unit.:   3,85
LASANHA SADIA 4 QUEIJOS 600g (Código: 1216202 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   15,98
CREME LEITE ELEGE 10 LEVE TP 200g (Código: 1878288 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:3UN: GVl. Unit.:   2,47
LEITE COND ITALAC SEMIDESN TP 395g (Código: 493963 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:3UN: GVl. Unit.:   4,99
ARROZ BRA CARRETEIRO TP1 5kg (Código: 69687 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: KGVl. Unit.:   20,95
IOG LIQ VIGOR BIG MORANGO 1260g (Código: 1141320 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   13,9
PAO QUEIJO MARICOTA LANCHE 1kg (Código: 1098792 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: KGVl. Unit.:   11,98
ACHOCOL NESCAU 2.0 PO GO SAC 1,02kg (Código: 1605082 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: KGVl. Unit.:   26,75
TAPIOCA DA TERRINHA 500g (Código: 1131130 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:2UN: GVl. Unit.:   6,87
QUE RALADO BOLOGNA 40g (Código: 2019208 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:2UN: GVl. Unit.:   2,99
ESPAGUETE ADRIA SEMOLA N8 750g (Código: 1741124 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   4,99
SAL DOMESTICO CISNE 1kg (Código: 1298 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: KGVl. Unit.:   3,19
FEIJAO PRETO SUPER MAXIMO 1kg (Código: 1640373 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:3UN: KGVl. Unit.:   5,99
ACUCAR UNIAO REFINADO 1kg (Código: 36689 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: KGVl. Unit.:   4,49
REFRIGE COCA COLA 600ml (Código: 57509 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:2UN: mlVl. Unit.:   4,29
IOG NESTLE NATURAL 170g (Código: 711784 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   3,39
ESPONJA LIMPPANO M U SUP WISH C4 (Código: 1433265 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: CJVl. Unit.:   3,55
COCO RALADO MAIS COCO UMIDADO 100g (Código: 273367 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   5,8
CHA PRETO LIPTON PESSEGO PET 1,5l (Código: 186919 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: LVl. Unit.:   5,78
BEB LAC ITALAC WH 15gP ZL AMEN250ml (Código: 1973310 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: MLVl. Unit.:   4,99
MIST BOLO FLEISCHMAN CHOC SACH 390g (Código: 1805406 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:2UN: GVl. Unit.:   7,99
OLEO DE SOJA SOYA PET 900ml (Código: 544757 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: MLVl. Unit.:   6,79
FERMENTO PO ROYAL 100g (Código: 4039 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   3,99
LIMPADO VIM CLORO GEL ADIT LA 700ml (Código: 1394450 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: MLVl. Unit.:   9,99
SAPOLIO RADIUM PO CLORO 300g (Código: 9720 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   4,99
LIMPADO YPE M USO TIRA MANCHA 500ml (Código: 562515 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: MLVl. Unit.:   2,77
SAB PASTOSO NEUTRAL 500g (Código: 67010 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   7,99
SAPONACEO CIF CREMM FLJA SQZ 450ml (Código: 1984729 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: MLVl. Unit.:   9,99
DESINFE CIF M USOANTIB L500P425ml (Código: 1646252 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: MLVl. Unit.:   4,23
DESINFE PINHO BRIL BRISA MAR 1000ml (Código: 1480894 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: MLVl. Unit.:   8,98
DETERGENTE LIMPOL JABUTICABA 500ml (Código: 1479232 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: MLVl. Unit.:   1,99
AMACIANTE DOWNY CONC L DO CAMPO 1l (Código: 1122169 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: LVl. Unit.:   17,5
ALVEJANTE VANISH PINK SACHE 1,2l (Código: 1530315 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: LVl. Unit.:   13,9
ALVEJANTE VANISH WHITE SACHE 1,2l (Código: 1530322 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: LVl. Unit.:   13,9
LAVA ROU PO OMO LAV PERFEITA 2,2kg (Código: 1514728 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: KGVl. Unit.:   25,98
ALCOOL LIQ MONTENEGRO 46 1l (Código: 1465662 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: LVl. Unit.:   6,99
SABONETE DOVE BABY HIDR BALANC 75g (Código: 1472837 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   3,99
LIMPADO YPE M USO CALCOOL 500ml (Código: 720731 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: MLVl. Unit.:   2,77
SABONETE DOVE BABY HIDR ENRIQ 75g (Código: 1079913 );2025-07-18 00:00:00;Guanabara(Jordão);33250733130543005303650160005312961005667787;Qtde.:1UN: GVl. Unit.:   3,99
MARACUJA (Código: 00000000000065 );2025-07-17 00:00:00;Hortifruti(Tindiba);33250730593345000167651030003933939034100574;Qtde.:0,755UN: KGVl. Unit.:   6,98
MACA GALA (Código: 00000000000069 );2025-07-17 00:00:00;Hortifruti(Tindiba);33250730593345000167651030003933939034100574;Qtde.:0,345UN: KGVl. Unit.:   11,98
UVA VERDE SEM CAROCO BDJ (Código: 00000000000762 );2025-07-17 00:00:00;Hortifruti(Tindiba);33250730593345000167651030003933939034100574;Qtde.:1UN: UNVl. Unit.:   6,98
PERA WILIANS (Código: 00000000000082 );2025-07-17 00:00:00;Hortifruti(Tindiba);33250730593345000167651030003933939034100574;Qtde.:0,2UN: KGVl. Unit.:   12,98
BATATA LISA (Código: 00000000000012 );2025-07-17 00:00:00;Hortifruti(Tindiba);33250730593345000167651030003933939034100574;Qtde.:1,13UN: KGVl. Unit.:   2,98
OVOS CARTELA COM 30 UNIDADE (Código: 00000000000791 );2025-07-17 00:00:00;Hortifruti(Tindiba);33250730593345000167651030003933939034100574;Qtde.:1UN: UNVl. Unit.:   19,98
CEBOLA (Código: 00000000000029 );2025-07-17 00:00:00;Hortifruti(Tindiba);33250730593345000167651030003933939034100574;Qtde.:0,695UN: KGVl. Unit.:   2,98
CENOURA (Código: 00000000000025 );2025-07-17 00:00:00;Hortifruti(Tindiba);33250730593345000167651030003933939034100574;Qtde.:0,605UN: KGVl. Unit.:   3,98
SACOLA PLASTICA (Código: 00000000000117 );2025-07-17 00:00:00;Hortifruti(Tindiba);33250730593345000167651030003933939034100574;Qtde.:1UN: UNVl. Unit.:   0,05
BISC AMANT RITINHA PC 150G NATA (Código: 20987 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656170001415031084212037;Qtde.:1UN: UNVl. Unit.:   5,49
TAPIOCA PRONTA DA TERRINHA PC 500G ZERO GLUTEN (Código: 5718 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656170001415031084212037;Qtde.:1UN: UNVl. Unit.:   6,99
TAPIOCA PRONTA DA TERRINHA PC 500G ZERO GLUTEN (Código: 5718 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656170001415031084212037;Qtde.:1UN: UNVl. Unit.:   6,99
TAPIOCA PRONTA DA TERRINHA PC 500G ZERO GLUTEN (Código: 5718 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656170001415031084212037;Qtde.:1UN: UNVl. Unit.:   6,99
IOGURTE VIGOR 1260G MORANGO (Código: 574 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698841636591840;Qtde.:1UN: UNVl. Unit.:   10,94
LEITE FERM CHAMYTO FR 75G C/6 TRAD (Código: 5065 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698841636591840;Qtde.:1UN: UNVl. Unit.:   8,29
FILE MIGNON SUINO COZ SADIA MIGNONETO kg (Código: 66112 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698841636591840;Qtde.:0,222UN: KGVl. Unit.:   30,99
QUEIJO MUSSARELA PRESIDENT PECA kg (Código: 11009 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698841636591840;Qtde.:0,518UN: KGVl. Unit.:   59,9
MARACUJA kg (Código: 10290 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698841636591840;Qtde.:1,095UN: KGVl. Unit.:   9,55
ALHO kg (Código: 10182 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698841636591840;Qtde.:0,13UN: KGVl. Unit.:   29,99
MOLHO TOM POMAROLA SCH 300G TRAD (Código: 42314 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698831989696521;Qtde.:1UN: UNVl. Unit.:   3,98
SALSICHA HOT DOG PERDIGAO kg (Código: 11994 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698831989696521;Qtde.:1,256UN: KGVl. Unit.:   8,94
CEBOLA NACIONAL kg (Código: 10226 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698831989696521;Qtde.:0,615UN: KGVl. Unit.:   4,99
LING MISTA FINA SADIA kg (Código: 12153 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698831989696521;Qtde.:0,384UN: KGVl. Unit.:   23,98
TOMATE ITALIANO kg (Código: 26992 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698831989696521;Qtde.:0,33UN: KGVl. Unit.:   12,99
PIMENTAO VERDE kg (Código: 10214 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698831989696521;Qtde.:0,125UN: KGVl. Unit.:   15,99
SACOLA RECICLAVEL 7kg UN VERDE (Código: 9813 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698831989696521;Qtde.:1UN: UNVl. Unit.:   0,09
SACOLA RECICLAVEL 7kg UN VERDE (Código: 9813 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698831989696521;Qtde.:1UN: UNVl. Unit.:   0,09
SACOLA RECICLAVEL 7kg UN VERDE (Código: 9813 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698831989696521;Qtde.:1UN: UNVl. Unit.:   0,09
SACOLA RECICLAVEL 7kg UN VERDE (Código: 9813 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698831989696521;Qtde.:1UN: UNVl. Unit.:   0,09
SACOLA RECICLAVEL 7kg UN VERDE (Código: 9813 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698831989696521;Qtde.:1UN: UNVl. Unit.:   0,09
SACOLA RECICLAVEL 7kg UN VERDE (Código: 9813 );2025-07-31 00:00:00;Supermarket(Merck);33250707760885001652656160001698831989696521;Qtde.:1UN: UNVl. Unit.:   0,09
